"Player","FullName","Appearances","Minutes","Goals","Assists","YellowCard","RedCard","ShotsPerGame","PassSuccessPercentage","ManOfTheMatch","Rating","Team","Group","Squad Number","Position","Captain","Date Of Birth","Age","Caps","GoalsBeforeTournament","Club","Photo","Flag","Club Logo","Value"
"A. Jędrzejczyk","Artur Jędrzejczyk","0","0","0","0","0","0","0","0","0","0","Poland","H","3","DF","-","11/4/1987","30","35","3","Legia Warszawa","https://cdn.sofifa.org/players/10/19/177790.png","https://cdn.sofifa.org/flags/37.png","https://cdn.sofifa.org/teams/10/light/1871.png","€1.3M"
"C. Vargas","Camilo Vargas","0","0","0","0","0","0","0","0","0","0","Colombia","H","12","GK","-","3/9/1989","29","5","0","Deportivo Cali","https://cdn.sofifa.org/players/10/19/212067.png","https://cdn.sofifa.org/flags/56.png","https://cdn.sofifa.org/teams/10/light/101102.png","€5M"
"G. Yo-han","Go Yo-han","0","0","0","0","0","0","0","0","0","0","South Korea","F","22","DF","-","3/10/1988","30","19","0","N/A","N/A","N/A","N/A","N/A"
"B. Sigurðarson","Björn Sigurðarson","0","0","0","0","0","0","0","0","0","0","Iceland","D","9","FW","-","2/26/1991","27","11","1","N/A","https://cdn.sofifa.org/players/10/19/190461.png","https://cdn.sofifa.org/flags/24.png","https://cdn.sofifa.org/flags/24.png","€0"
"I. Rakitić","Ivan Rakitić","0","0","0","0","0","0","0","0","0","0","Croatia","D","7","MF","-","3/10/1988","30","91","14","FC Barcelona","https://cdn.sofifa.org/players/10/19/168651.png","https://cdn.sofifa.org/flags/10.png","https://cdn.sofifa.org/teams/10/light/241.png","€46.5M"
"P. Geromel","Pedro Geromel","0","0","0","0","0","0","0","0","0","0","Brazil","E","4","DF","-","9/21/1985","32","2","0","N/A","N/A","N/A","N/A","N/A"
"Coutinho","Coutinho","0","0","0","0","0","0","0","0","0","0","Brazil","E","11","MF","-","6/12/1992","25","36","9","FC Barcelona","https://cdn.sofifa.org/players/10/19/189242.png","https://cdn.sofifa.org/flags/54.png","https://cdn.sofifa.org/teams/10/light/241.png","€69.5M"
"Y. Belhanda","Younès Belhanda","3","228","0","0","0","0","2","81","0","6.64","Morocco","B","10","MF","-","2/25/1990","28","46","4","Galatasaray SK","https://cdn.sofifa.org/players/10/19/193738.png","https://cdn.sofifa.org/flags/129.png","https://cdn.sofifa.org/teams/10/light/325.png","€12.5M"
"A. Rodríguez","Alberto Rodríguez","2","136","0","0","0","0","1","89.3","0","6.35","Peru","C","2","DF","-","3/31/1984","34","58","0","Minnesota United FC","https://cdn.sofifa.org/players/10/19/214379.png","https://cdn.sofifa.org/flags/56.png","https://cdn.sofifa.org/teams/10/light/111138.png","€4M"
"D. Akpeyi","Daniel Akpeyi","0","0","0","0","0","0","0","0","0","0","Nigeria","D","16","GK","-","3/8/1986","32","7","0","N/A","N/A","N/A","N/A","N/A"
"J. Corona","Jesús Corona","2","35","0","0","0","0","0","76.2","0","6.16","Mexico","F","17","MF","-","1/6/1993","25","35","7","FC Porto","https://cdn.sofifa.org/players/10/19/193165.png","https://cdn.sofifa.org/flags/83.png","https://cdn.sofifa.org/teams/10/light/236.png","€21.5M"
"K. Trippier","Kieran Trippier","6","576","1","1","0","0","0","75.9","1","7.96","England","G","12","DF","-","9/19/1990","27","6","0","Tottenham Hotspur","https://cdn.sofifa.org/players/10/19/186345.png","https://cdn.sofifa.org/flags/14.png","https://cdn.sofifa.org/teams/10/light/18.png","€18.5M"
"M. Rybus","Maciej Rybus","2","180","0","0","0","0","0","82.8","0","6.71","Poland","H","13","MF","-","8/19/1989","28","49","2","Lokomotiv Moscow","https://cdn.sofifa.org/players/10/19/186347.png","https://cdn.sofifa.org/flags/37.png","https://cdn.sofifa.org/teams/10/light/100765.png","€3.2M"
"S. Peszko","Sławomir Peszko","0","0","0","0","0","0","0","0","0","0","Poland","H","17","MF","-","2/19/1985","33","43","2","Lechia Gdańsk","https://cdn.sofifa.org/players/10/19/148564.png","https://cdn.sofifa.org/flags/37.png","https://cdn.sofifa.org/teams/10/light/111091.png","€325K"
"B. Embolo","Breel Embolo","4","134","0","1","0","0","0","74.4","0","6.65","Switzerland","E","7","FW","-","2/14/1997","21","24","3","FC Schalke 04","https://cdn.sofifa.org/players/10/19/222357.png","https://cdn.sofifa.org/flags/47.png","https://cdn.sofifa.org/teams/10/light/34.png","€12.5M"
"E. Hazard","Eden Hazard","6","518","3","2","1","0","0","81.7","4","8.51","Belgium","G","10","FW","captain","1/7/1991","27","82","21","Chelsea","https://cdn.sofifa.org/players/10/19/183277.png","https://cdn.sofifa.org/flags/7.png","https://cdn.sofifa.org/teams/10/light/5.png","€93M"
"J. Izquierdo","José Izquierdo","1","70","0","0","0","0","0","70.8","0","6.26","Colombia","H","21","FW","-","7/7/1992","25","5","1","Brighton & Hove Albion","https://cdn.sofifa.org/players/10/19/219411.png","https://cdn.sofifa.org/flags/56.png","https://cdn.sofifa.org/teams/10/light/1808.png","€10.5M"
"O. Haddadi","Oussama Haddadi","1","90","0","1","0","0","0","80.8","0","7.82","Tunisia","G","5","DF","-","1/28/1992","26","8","0","Dijon FCO","https://cdn.sofifa.org/players/10/19/237548.png","https://cdn.sofifa.org/flags/145.png","https://cdn.sofifa.org/teams/10/light/110569.png","€2.4M"
"A. Al-Bulaihi","Ali Al-Bulaihi","0","0","0","0","0","0","0","0","0","0","Saudi Arabia","A","4","DF","-","11/21/1989","28","3","0","N/A","N/A","N/A","N/A","N/A"
"D. Laxalt","Diego Laxalt","4","301","0","0","0","0","0","71.4","0","6.78","Uruguay","A","17","MF","-","2/7/1993","25","5","0","Milan","https://cdn.sofifa.org/players/10/19/213400.png","https://cdn.sofifa.org/flags/60.png","https://cdn.sofifa.org/teams/10/light/47.png","€12.5M"
"D. Bronn","Dylan Bronn","2","114","1","0","0","0","0","80.4","0","6.79","Tunisia","G","11","DF","-","6/19/1995","22","4","0","KAA Gent","https://cdn.sofifa.org/players/10/19/235565.png","https://cdn.sofifa.org/flags/145.png","https://cdn.sofifa.org/teams/10/light/674.png","€4.8M"
"M. Shojaei","Masoud Shojaei","1","68","0","0","1","0","0","73.3","0","6.85","Iran","B","7","MF","captain","6/9/1984","33","73","8","N/A","N/A","N/A","N/A","N/A"
"M. Rashid Mazaheri","Mohammad Rashid Mazaheri","0","0","0","0","0","0","0","0","0","0","Iran","B","12","GK","-","5/18/1989","29","3","0","N/A","N/A","N/A","N/A","N/A"
"A. Golovin","Aleksandr Golovin","4","402","1","2","1","0","0","74.6","1","7.5","Russia","A","17","MF","-","5/30/1996","22","18","2","AS Monaco","https://cdn.sofifa.org/players/10/19/225663.png","https://cdn.sofifa.org/flags/40.png","https://cdn.sofifa.org/teams/10/light/69.png","€17M"
"D. Guzmán","David Guzmán","3","246","0","0","1","0","0","79.3","0","6.49","Costa Rica","E","20","MF","-","2/18/1990","28","41","0","N/A","N/A","N/A","N/A","N/A"
"I. Sarr","Ismaïla Sarr","0","0","0","0","0","0","0","0","0","0","Senegal","H","18","FW","-","2/25/1998","20","14","2","Stade Rennais FC","https://cdn.sofifa.org/players/10/19/235353.png","https://cdn.sofifa.org/flags/136.png","https://cdn.sofifa.org/teams/10/light/74.png","€13.5M"
"S. Okazaki","Shinji Okazaki","3","68","0","0","0","0","0","70.6","0","6.24","Japan","H","9","FW","-","4/16/1986","32","112","50","Leicester City","https://cdn.sofifa.org/players/10/19/194365.png","https://cdn.sofifa.org/flags/163.png","https://cdn.sofifa.org/teams/10/light/95.png","€5.5M"
"X. Shaqiri","Xherdan Shaqiri","4","351","1","1","1","0","0","81.1","1","7.1","Switzerland","E","23","MF","-","10/10/1991","26","69","20","Liverpool","https://cdn.sofifa.org/players/10/19/193348.png","https://cdn.sofifa.org/flags/47.png","https://cdn.sofifa.org/teams/10/light/9.png","€19M"
"Y. Sabaly","Youssouf Sabaly","3","254","0","0","1","0","0","71.9","0","6.3","Senegal","H","12","DF","-","3/5/1993","25","3","0","FC Girondins de Bordeaux","https://cdn.sofifa.org/players/10/19/215699.png","https://cdn.sofifa.org/flags/136.png","https://cdn.sofifa.org/teams/10/light/59.png","€9M"
"M. Layún","Miguel Layún","4","314","0","0","1","0","0","79.4","0","6.71","Mexico","F","7","MF","-","6/25/1988","29","63","6","Villarreal CF","https://cdn.sofifa.org/players/10/19/178322.png","https://cdn.sofifa.org/flags/83.png","https://cdn.sofifa.org/teams/10/light/483.png","€6.5M"
"É. Banega","Éver Banega","3","216","0","2","2","0","1","87.9","0","7.11","Argentina","D","7","MF","-","6/29/1988","29","62","6","N/A","N/A","N/A","N/A","N/A"
"A. Quintero","Alberto Quintero","0","0","0","0","0","0","0","0","0","0","Panama","G","19","MF","-","12/18/1987","30","89","5","N/A","N/A","N/A","N/A","N/A"
"C. Bacca","Carlos Bacca","3","90","0","0","1","0","0","77.8","0","6.16","Colombia","H","7","FW","-","9/8/1986","31","45","14","Villarreal CF","https://cdn.sofifa.org/players/10/19/207664.png","https://cdn.sofifa.org/flags/56.png","https://cdn.sofifa.org/teams/10/light/483.png","€16M"
"F. Fajr","Fayçal Fajr","0","0","0","0","0","0","0","0","0","0","Morocco","B","11","MF","-","8/1/1988","29","23","2","Stade Malherbe Caen","https://cdn.sofifa.org/players/10/19/205083.png","https://cdn.sofifa.org/flags/129.png","https://cdn.sofifa.org/teams/10/light/210.png","€10M"
"J. Penedo","Jaime Penedo","3","270","0","0","0","0","0","38.6","0","6.08","Panama","G","1","GK","-","9/26/1981","36","130","0","N/A","N/A","N/A","N/A","N/A"
"J. de Jesús Corona","José de Jesús Corona","0","0","0","0","0","0","0","0","0","0","Mexico","F","1","GK","-","1/26/1981","37","52","0","N/A","N/A","N/A","N/A","N/A"
"M. Jurman","Matthew Jurman","0","0","0","0","0","0","0","0","0","0","Australia","C","6","DF","-","12/8/1989","28","4","0","Al Ittihad","https://cdn.sofifa.org/players/10/19/192250.png","https://cdn.sofifa.org/flags/195.png","https://cdn.sofifa.org/teams/10/light/607.png","€1.4M"
"R. Sterling","Raheem Sterling","6","456","0","1","0","0","0","86.8","0","6.59","England","G","10","FW","-","12/8/1994","23","38","2","Manchester City","https://cdn.sofifa.org/players/10/19/202652.png","https://cdn.sofifa.org/flags/14.png","https://cdn.sofifa.org/teams/10/light/10.png","€56.5M"
"W. Barrios","Wílmar Barrios","0","0","0","0","0","0","0","0","0","0","Colombia","H","5","MF","-","10/16/1993","24","10","0","Boca Juniors","https://cdn.sofifa.org/players/10/19/214394.png","https://cdn.sofifa.org/flags/56.png","https://cdn.sofifa.org/teams/10/light/1877.png","€12.5M"
"S. Zuber","Steven Zuber","3","253","1","0","0","0","0","76.7","0","6.78","Switzerland","E","14","MF","-","8/17/1991","26","11","3","TSG 1899 Hoffenheim","https://cdn.sofifa.org/players/10/19/190059.png","https://cdn.sofifa.org/flags/47.png","https://cdn.sofifa.org/teams/10/light/10029.png","€7.5M"
"E. Kawashima","Eiji Kawashima","4","360","0","0","1","0","0","62.1","0","6.52","Japan","H","1","GK","-","3/20/1983","35","83","0","RC Strasbourg Alsace","https://cdn.sofifa.org/players/10/19/180739.png","https://cdn.sofifa.org/flags/163.png","https://cdn.sofifa.org/teams/10/light/76.png","€550K"
"M. Gómez","Mario Gómez","0","0","0","0","0","0","0","0","0","0","Germany","F","23","FW","-","7/10/1985","32","74","31","VfB Stuttgart","https://cdn.sofifa.org/players/10/19/150418.png","https://cdn.sofifa.org/flags/21.png","https://cdn.sofifa.org/teams/10/light/36.png","€12M"
"R. Wallace","Rodney Wallace","1","9","0","0","0","0","0","75","0","5.98","Costa Rica","E","13","MF","-","6/17/1988","29","30","4","New York City FC","https://cdn.sofifa.org/players/10/19/190588.png","https://cdn.sofifa.org/flags/72.png","https://cdn.sofifa.org/teams/10/light/112828.png","€500K"
"S. Khalifa","Saber Khalifa","1","5","0","0","0","0","0","0","0","5.82","Tunisia","G","19","FW","-","10/14/1986","31","43","7","N/A","N/A","N/A","N/A","N/A"
"O. Peralta","Oribe Peralta","1","1","0","0","0","0","0","100","0","5.94","Mexico","F","19","FW","-","1/12/1984","34","66","26","Club América","https://cdn.sofifa.org/players/10/19/158543.png","https://cdn.sofifa.org/flags/83.png","https://cdn.sofifa.org/teams/10/light/1879.png","€3.5M"
"S. Mané","Sadio Mané","3","270","1","0","0","0","1","77.7","0","6.81","Senegal","H","10","FW","-","4/10/1992","26","51","14","Liverpool","https://cdn.sofifa.org/players/10/19/208722.png","https://cdn.sofifa.org/flags/136.png","https://cdn.sofifa.org/teams/10/light/9.png","€52M"
"S. Kjær","Simon Kjær","0","0","0","0","0","0","0","0","0","0","Denmark","C","4","DF","captain","3/26/1989","29","77","3","Sevilla FC","https://cdn.sofifa.org/players/10/19/179645.png","https://cdn.sofifa.org/flags/13.png","https://cdn.sofifa.org/teams/10/light/481.png","€14M"
"E. Hajsafi","Ehsan Hajsafi","0","0","0","0","0","0","0","0","0","0","Iran","B","3","DF","-","2/25/1990","28","93","6","N/A","N/A","N/A","N/A","N/A"
"E. Dier","Eric Dier","6","248","0","0","0","0","0","87.8","0","6.26","England","G","4","MF","-","1/15/1994","24","26","3","Tottenham Hotspur","https://cdn.sofifa.org/players/10/19/202335.png","https://cdn.sofifa.org/flags/14.png","https://cdn.sofifa.org/teams/10/light/18.png","€16.5M"
"S. Samir","Saad Samir","0","0","0","0","0","0","0","0","0","0","Egypt","A","20","DF","-","4/1/1989","29","11","0","N/A","N/A","N/A","N/A","N/A"
"F. Fazio","Federico Fazio","1","45","0","0","0","0","0","80.8","0","6.12","Argentina","D","6","DF","-","3/17/1987","31","9","1","Roma","https://cdn.sofifa.org/players/10/19/179847.png","https://cdn.sofifa.org/flags/52.png","https://cdn.sofifa.org/teams/10/light/52.png","€15M"
"J. Vestergaard","Jannik Vestergaard","0","0","0","0","0","0","0","0","0","0","Denmark","C","3","DF","-","8/3/1992","25","16","1","Southampton","https://cdn.sofifa.org/players/10/19/202849.png","https://cdn.sofifa.org/flags/13.png","https://cdn.sofifa.org/teams/10/light/17.png","€14.5M"
"J. Se-jong","Ju Se-jong","0","0","0","0","0","0","0","0","0","0","South Korea","F","8","MF","-","10/30/1990","27","10","1","N/A","N/A","N/A","N/A","N/A"
"M. Wagué","Moussa Wagué","3","196","1","0","0","0","0","80.6","0","6.86","Senegal","H","22","DF","-","10/4/1998","19","9","0","Udinese","https://cdn.sofifa.org/players/10/19/205243.png","https://cdn.sofifa.org/flags/126.png","https://cdn.sofifa.org/teams/10/light/55.png","€3.9M"
"N. Dirar","Nabil Dirar","2","180","0","0","0","0","0","86.3","0","6.93","Morocco","B","17","DF","-","2/25/1986","32","34","3","Fenerbahçe SK","https://cdn.sofifa.org/players/10/19/177525.png","https://cdn.sofifa.org/flags/129.png","https://cdn.sofifa.org/teams/10/light/326.png","€5M"
"P. Pogba","Paul Pogba","6","539","1","0","1","0","0","80.2","1","7.49","France","C","6","MF","-","3/15/1993","25","53","9","Manchester United","https://cdn.sofifa.org/players/10/19/195864.png","https://cdn.sofifa.org/flags/18.png","https://cdn.sofifa.org/teams/10/light/11.png","€64M"
"C. Hyun-woo","Cho Hyun-woo","0","0","0","0","0","0","0","0","0","0","South Korea","F","23","GK","-","9/25/1991","26","5","0","N/A","N/A","N/A","N/A","N/A"
"A. Ingvi Traustason","Arnór Ingvi Traustason","1","1","0","0","0","0","0","0","0","6","Iceland","D","21","MF","-","4/30/1993","25","18","5","N/A","N/A","N/A","N/A","N/A"
"D. Rose","Danny Rose","5","204","0","0","0","0","0","89.5","0","6.24","England","G","3","DF","-","7/2/1990","27","17","0","Tottenham Hotspur","https://cdn.sofifa.org/players/10/19/169595.png","https://cdn.sofifa.org/flags/14.png","https://cdn.sofifa.org/teams/10/light/18.png","€14.5M"
"M. Cáceres","Martín Cáceres","5","450","0","0","0","0","0","76","0","6.62","Uruguay","A","22","DF","-","4/7/1987","31","75","4","Lazio","https://cdn.sofifa.org/players/10/19/182495.png","https://cdn.sofifa.org/flags/60.png","https://cdn.sofifa.org/teams/10/light/46.png","€7M"
"M. Krohn-Dehli","Michael Krohn-Dehli","1","22","0","0","0","0","0","100","0","6.03","Denmark","C","2","MF","-","6/6/1983","34","58","6","Deportivo de La Coruña","https://cdn.sofifa.org/players/10/19/159240.png","https://cdn.sofifa.org/flags/13.png","https://cdn.sofifa.org/teams/10/light/242.png","€2.4M"
"A. Cornelius","Andreas Cornelius","3","163","0","0","0","0","0","59.5","0","6.64","Denmark","C","21","FW","-","3/16/1993","25","18","4","FC Girondins de Bordeaux","https://cdn.sofifa.org/players/10/19/201943.png","https://cdn.sofifa.org/flags/13.png","https://cdn.sofifa.org/teams/10/light/59.png","€8.5M"
"A. Badri","Anice Badri","3","225","0","0","1","0","1","90.5","0","6.36","Tunisia","G","9","MF","-","9/18/1990","27","6","2","N/A","N/A","N/A","N/A","N/A"
"W. Cartagena","Wilder Cartagena","1","11","0","0","0","0","0","50","0","6.09","Peru","C","16","MF","-","9/23/1994","23","3","0","Tiburones Rojos de Veracruz","https://cdn.sofifa.org/players/10/19/221664.png","https://cdn.sofifa.org/flags/59.png","https://cdn.sofifa.org/teams/10/light/110145.png","€900K"
"A. Maâloul","Ali Maâloul","2","180","0","0","0","0","0","83.5","0","5.49","Tunisia","G","12","DF","-","1/1/1990","28","45","0","N/A","N/A","N/A","N/A","N/A"
"C. Bolaños","Christian Bolaños","2","67","0","0","0","0","0","80","0","6.03","Costa Rica","E","7","MF","-","5/17/1984","34","79","6","N/A","N/A","N/A","N/A","N/A"
"J. Mascherano","Javier Mascherano","4","360","0","0","2","0","0","90.5","0","6.71","Argentina","D","14","DF","-","6/8/1984","33","143","3","Hebei China Fortune FC","https://cdn.sofifa.org/players/10/19/142754.png","https://cdn.sofifa.org/flags/52.png","https://cdn.sofifa.org/teams/10/light/112978.png","€4.5M"
"L. Suárez","Luis Suárez","5","450","2","1","0","0","0","63.8","2","7.09","Uruguay","A","9","FW","-","1/24/1987","31","97","50","FC Barcelona","https://cdn.sofifa.org/players/10/19/176580.png","https://cdn.sofifa.org/flags/60.png","https://cdn.sofifa.org/teams/10/light/241.png","€80M"
"A. Elmohamady","Ahmed Elmohamady","0","0","0","0","0","0","0","0","0","0","Egypt","A","3","DF","-","9/9/1987","30","77","2","Aston Villa","https://cdn.sofifa.org/players/10/19/191005.png","https://cdn.sofifa.org/flags/111.png","https://cdn.sofifa.org/teams/10/light/2.png","€2.2M"
"C. Eriksen","Christian Eriksen","4","390","1","1","0","0","3","79.6","0","7.14","Denmark","C","10","MF","-","2/14/1992","26","77","21","Tottenham Hotspur","https://cdn.sofifa.org/players/10/19/190460.png","https://cdn.sofifa.org/flags/13.png","https://cdn.sofifa.org/teams/10/light/18.png","€73.5M"
"E. Davis","Erick Davis","0","0","0","0","0","0","0","0","0","0","Panama","G","15","DF","-","3/31/1991","27","37","0","N/A","N/A","N/A","N/A","N/A"
"M. Gómez","Maxi Gómez","2","32","0","0","0","0","0","80","0","6.05","Uruguay","A","18","FW","-","8/14/1996","21","4","0","RC Celta","https://cdn.sofifa.org/players/10/19/239207.png","https://cdn.sofifa.org/flags/60.png","https://cdn.sofifa.org/teams/10/light/450.png","€20.5M"
"D. Ćaleta-Car","Duje Ćaleta-Car","0","0","0","0","0","0","0","0","0","0","Croatia","D","15","DF","-","9/17/1996","21","1","0","Olympique de Marseille","https://cdn.sofifa.org/players/10/19/225263.png","https://cdn.sofifa.org/flags/10.png","https://cdn.sofifa.org/teams/10/light/219.png","€7M"
"J. Rodríguez","James Rodríguez","3","152","0","2","1","0","1","84.2","0","6.98","Colombia","H","10","MF","-","7/12/1991","26","63","21","FC Bayern München","https://cdn.sofifa.org/players/10/19/198710.png","https://cdn.sofifa.org/flags/56.png","https://cdn.sofifa.org/teams/10/light/21.png","€69.5M"
"Y. Nagatomo","Yuto Nagatomo","4","360","0","1","0","0","0","83.3","0","6.62","Japan","H","5","DF","-","9/12/1986","31","104","3","Galatasaray SK","https://cdn.sofifa.org/players/10/19/194359.png","https://cdn.sofifa.org/flags/163.png","https://cdn.sofifa.org/teams/10/light/325.png","€3.7M"
"A. Arroyo","Abdiel Arroyo","2","30","0","0","0","0","0","83.3","0","6.44","Panama","G","16","FW","-","12/13/1993","24","33","5","Santa Clara","https://cdn.sofifa.org/players/10/19/235252.png","https://cdn.sofifa.org/flags/87.png","https://cdn.sofifa.org/teams/10/light/1438.png","€725K"
"C. Kouyaté","Cheikhou Kouyaté","3","118","0","0","0","0","0","89.2","0","6.29","Senegal","H","8","MF","captain","12/21/1989","28","47","2","Crystal Palace","https://cdn.sofifa.org/players/10/19/186801.png","https://cdn.sofifa.org/flags/136.png","https://cdn.sofifa.org/teams/10/light/1799.png","€6M"
"D. Welbeck","Danny Welbeck","1","11","0","0","0","0","2","100","0","6.14","England","G","14","FW","-","11/26/1990","27","38","15","Arsenal","https://cdn.sofifa.org/players/10/19/186146.png","https://cdn.sofifa.org/flags/14.png","https://cdn.sofifa.org/teams/10/light/1.png","€9.5M"
"J. Knudsen","Jonas Knudsen","1","120","0","0","0","0","0","71","0","6.42","Denmark","C","5","DF","-","9/16/1992","25","3","0","Ipswich Town","https://cdn.sofifa.org/players/10/19/199748.png","https://cdn.sofifa.org/flags/13.png","https://cdn.sofifa.org/teams/10/light/94.png","€1.8M"
"O. Etebo","Oghenekaro Etebo","0","0","0","0","0","0","0","0","0","0","Nigeria","D","8","MF","-","11/9/1995","22","14","1","Stoke City","https://cdn.sofifa.org/players/10/19/234457.png","https://cdn.sofifa.org/flags/133.png","https://cdn.sofifa.org/teams/10/light/1806.png","€8M"
"N. Otamendi","Nicolás Otamendi","4","360","0","0","2","0","1","87.8","0","6.98","Argentina","D","17","DF","-","2/12/1988","30","54","4","Manchester City","https://cdn.sofifa.org/players/10/19/192366.png","https://cdn.sofifa.org/flags/52.png","https://cdn.sofifa.org/teams/10/light/10.png","€28.5M"
"P. Montazeri","Pejman Montazeri","0","0","0","0","0","0","0","0","0","0","Iran","B","15","DF","-","9/6/1983","34","46","1","N/A","N/A","N/A","N/A","N/A"
"A. Freyr Skúlason","Ari Freyr Skúlason","2","17","0","0","0","0","0","100","0","6.05","Iceland","D","23","DF","-","5/14/1987","31","55","0","N/A","N/A","N/A","N/A","N/A"
"I. Akinfeev","Igor Akinfeev","5","510","0","0","0","0","0","44","1","6.52","Russia","A","1","GK","captain","4/8/1986","32","105","0","PFC CSKA Moscow","https://cdn.sofifa.org/players/10/19/148119.png","https://cdn.sofifa.org/flags/40.png","https://cdn.sofifa.org/teams/10/light/315.png","€8.5M"
"L. Hernández","Lucas Hernández","7","590","0","2","2","0","0","79.5","0","6.97","France","C","21","DF","-","2/14/1996","22","4","0","Atlético Madrid","https://cdn.sofifa.org/players/10/19/220814.png","https://cdn.sofifa.org/flags/18.png","https://cdn.sofifa.org/teams/10/light/240.png","€25.5M"
"M. Taremi","Mehdi Taremi","3","202","0","0","0","0","1","54.8","0","6.64","Iran","B","17","FW","-","7/18/1992","25","25","11","N/A","N/A","N/A","N/A","N/A"
"R. Tapia","Renato Tapia","2","150","0","0","1","0","0","78.8","0","6.62","Peru","C","13","MF","-","7/28/1995","22","22","1","Feyenoord","https://cdn.sofifa.org/players/10/19/220673.png","https://cdn.sofifa.org/flags/59.png","https://cdn.sofifa.org/teams/10/light/246.png","€6.5M"
"D. Tošić","Duško Tošić","0","0","0","0","0","0","0","0","0","0","Serbia","E","3","DF","-","1/19/1985","33","23","1","Guangzhou R&F; FC","https://cdn.sofifa.org/players/10/19/176377.png","https://cdn.sofifa.org/flags/51.png","https://cdn.sofifa.org/teams/10/light/112429.png","€2.3M"
"M. Berg","Marcus Berg","5","428","0","0","0","0","3","71.6","0","6.93","Sweden","F","9","FW","-","8/17/1986","31","56","18","N/A","N/A","N/A","N/A","N/A"
"M. Badelj","Milan Badelj","3","103","1","1","0","0","0","89.2","1","7.06","Croatia","D","19","MF","-","2/25/1989","29","37","1","Lazio","https://cdn.sofifa.org/players/10/19/201144.png","https://cdn.sofifa.org/flags/10.png","https://cdn.sofifa.org/teams/10/light/46.png","€11.5M"
"P. Pemberton","Patrick Pemberton","0","0","0","0","0","0","0","0","0","0","Costa Rica","E","18","GK","-","4/24/1982","36","39","0","N/A","N/A","N/A","N/A","N/A"
"S. Ciss","Saliou Ciss","0","0","0","0","0","0","0","0","0","0","Senegal","H","2","DF","-","6/15/1989","28","18","0","Angers SCO","https://cdn.sofifa.org/players/10/19/198687.png","https://cdn.sofifa.org/flags/136.png","https://cdn.sofifa.org/teams/10/light/1530.png","€800K"
"M. Al-Sahlawi","Mohammad Al-Sahlawi","0","0","0","0","0","0","0","0","0","0","Saudi Arabia","A","10","FW","-","1/10/1987","31","39","28","N/A","N/A","N/A","N/A","N/A"
"M. Dembélé","Mousa Dembélé","4","178","0","0","0","0","0","96.4","0","6.4","Belgium","G","19","MF","-","7/16/1987","30","74","5","Tottenham Hotspur","https://cdn.sofifa.org/players/10/19/162240.png","https://cdn.sofifa.org/flags/7.png","https://cdn.sofifa.org/teams/10/light/18.png","€24M"
"R. Bedoui","Rami Bedoui","1","90","0","0","0","0","0","84.9","0","6.81","Tunisia","G","6","DF","-","1/19/1990","28","8","0","N/A","N/A","N/A","N/A","N/A"
"S. Friðjónsson","Samúel Friðjónsson","0","0","0","0","0","0","0","0","0","0","Iceland","D","3","MF","-","2/22/1996","22","4","0","Vålerenga Fotball","https://cdn.sofifa.org/players/10/19/224418.png","https://cdn.sofifa.org/flags/24.png","https://cdn.sofifa.org/teams/10/light/920.png","€500K"
"D. Subašić","Danijel Subašić","0","0","0","0","0","0","0","0","0","0","Croatia","D","23","GK","-","10/27/1984","33","37","0","AS Monaco","https://cdn.sofifa.org/players/10/19/192593.png","https://cdn.sofifa.org/flags/10.png","https://cdn.sofifa.org/teams/10/light/69.png","€13M"
"G. Higuaín","Gonzalo Higuaín","3","132","0","0","0","0","1","86.8","0","6.16","Argentina","D","9","FW","-","12/10/1987","30","71","31","Milan","https://cdn.sofifa.org/players/10/19/167664.png","https://cdn.sofifa.org/flags/52.png","https://cdn.sofifa.org/teams/10/light/47.png","€57M"
"I. Kiese Thelin","Isaac Kiese Thelin","0","0","0","0","0","0","0","0","0","0","Sweden","F","22","FW","-","6/24/1992","25","19","2","Bayer 04 Leverkusen","https://cdn.sofifa.org/players/10/19/205985.png","https://cdn.sofifa.org/flags/46.png","https://cdn.sofifa.org/teams/10/light/32.png","€3.8M"
"J. dos Santos","Jonathan dos Santos","1","35","0","0","0","0","0","100","0","6.22","Mexico","F","6","MF","-","4/26/1990","28","31","0","LA Galaxy","https://cdn.sofifa.org/players/10/19/170370.png","https://cdn.sofifa.org/flags/83.png","https://cdn.sofifa.org/teams/10/light/697.png","€9M"
"T. Courtois","Thibaut Courtois","7","630","0","0","0","0","0","67","1","7.12","Belgium","G","1","GK","-","5/11/1992","26","56","0","Real Madrid","https://cdn.sofifa.org/players/10/19/192119.png","https://cdn.sofifa.org/flags/7.png","https://cdn.sofifa.org/teams/10/light/243.png","€53.5M"
"J. Farfán","Jefferson Farfán","2","130","0","0","0","0","2","83.8","0","6.59","Peru","C","10","FW","-","10/26/1984","33","83","25","Lokomotiv Moscow","https://cdn.sofifa.org/players/10/19/158133.png","https://cdn.sofifa.org/flags/59.png","https://cdn.sofifa.org/teams/10/light/100765.png","€7.5M"
"J. Gallardo","Jesús Gallardo","4","335","0","0","1","0","0","83.8","1","6.94","Mexico","F","23","MF","-","8/15/1994","23","22","0","Monterrey","https://cdn.sofifa.org/players/10/19/226045.png","https://cdn.sofifa.org/flags/83.png","https://cdn.sofifa.org/teams/10/light/1032.png","€7.5M"
